"Gift","Telegram floor TON","Telegram floor Stars","Getgems floor TON","Highest Getgems collection offer TON","Offer/Floor %","Active collection offers","Getgems collection"
"Artisan Brick","51.4","","56.01","52.0893","93.00","3","Artisan Bricks"
"Astral Shard","110","","129","107.3","83.18","5","Astral Shards"
"B-Day Candle","4.32","","4.6","4.69","101.96","11","B-Day Candles"
"Berry Box","6.6","","7.98","7.50121","94.00","4","Berry Boxes"
"Big Year","2.94","","3.33","2.94","88.29","5","Big Years"
"Bling Binky","22","","23.309999","21.230098326","91.08","3","Bling Binkies"
"Bonded Ring","38","","38.8","36.482","94.03","2","Bonded Rings"
"Bow Tie","3.97","","4.699","4.699","100.00","14","Bow Ties"
"Bunny Muffin","4.25","","6.9","6.27901","91.00","4","Bunny Muffins"
"Candy Cane","2.9","","3.45","3.280800094","95.10","9","Candy Canes"
"Chill Flame","2.9","","3.465","17","490.62","10","Chill Flames"
"Clover Pin","4.09","","4.88","4.62","94.67","8","Clover Pins"
"Cookie Heart","3.93","","4.6","4.41601","96.00","8","Cookie Hearts"
"Crystal Ball","10.89","","11.949","10.68672","89.44","4","Crystal Balls"
"Cupid Charm","19.8","","22","20.9","95.00","4","Cupid Charms"
"Desk Calendar","3.622641509","","4.75","10.29","216.63","13","Desk Calendars"
"Diamond Ring","25","","28.9","28.949","100.17","5","Diamond Rings"
"Durov's Cap","382","","405","395","97.53","6","Durov’s Caps"
"Durov's Glasses","107.4978","","399","","","0","Durov’s Glasses"
"Easter Egg","3.19","","3.55","100","2816.90","18","Easter Eggs"
"Electric Skull","21.8","","24.949","22.4641","90.04","3","Electric Skulls"
"Eternal Candle","4.64","","5.5","5.28","96.00","7","Eternal Candles"
"Eternal Rose","23.9","","24.99","23.74051","95.00","4","Eternal Roses"
"Evil Eye","6.3","","7","6.7104","95.86","5","Evil Eyes"
"Faith Amulet","4.47","","4.699999999","4.7468376","101.00","5","Faith Amulets"
"Fine Pen","9.1494","","","","","",""
"Flying Broom","9.87","","10.9","10.08812773","92.55","4","Flying Brooms"
"Fresh Socks","3.4","","4.3512","4.27","98.13","9","Fresh Socks"
"Gem Signet","51","","62.6745","53.283325","85.02","4","Gem Signets"
"Genie Lamp","30.9","","35","31.09109413","88.83","5","Genie Lamps"
"Ginger Cookie","3.1","","3.8","3.45","90.79","6","Ginger Cookies"
"Hanging Star","6","","8.2","7.79001","95.00","6","Hanging Stars"
"Happy Brownie","3.5","","4.2","4.06","96.67","7","Happy Brownies"
"Heart Locket","921","","1280","1.23","0.10","4","Heart Lockets"
"Heroic Helmet","168.3","","187","119","63.64","3","Heroic Helmets"
"Hex Pot","3.48","","3.9","3.4586784","88.68","4","Hex Pots"
"Holiday Drink","2.93","","3.67","3.22","87.74","8","Holiday Drinks"
"Homemade Cake","3.113207547","","4.44","5","112.61","6","Homemade Cakes"
"Hypno Lollipop","2.99","","3.77","3.58","94.96","8","Hypno Lollipops"
"Ice Cream","3.1","","3.449999999","15","434.78","14","Ice Creams"
"Input Key","4.9","","5.94899","10.3224","173.52","16","Input Keys"
"Instant Ramen","2.99","","3.469","3.4","98.01","11","Instant Ramens"
"Ion Gem","54.7","","69","47.2757","68.52","4","Ion Gems"
"Ionic Dryer","12","","15.99","13.76004","86.05","4","Ionic Dryers"
"Jack-in-the-Box","3.67","","4.189999999","","","",""
"Jelly Bunny","4","","7.94","7.54301","95.00","4","Jelly Bunnies"
"Jester Hat","3","","3.689","3.1888312","86.44","4","Jester Hats"
"Jingle Bells","5","","7.98","7.4214","93.00","6","Jingle Bells"
"Jolly Chimp","6.28","","6.89","11.4","165.46","13","Jolly Chimps"
"Joyful Bundle","6.4","","7.24","7.24001","100.00","6","Joyful Bundles"
"Khabib's Papakha","15","","23.9","22.25703","93.13","4","Khabib’s Papakhas"
"Kissed Frog","38","","39.9","60","150.38","8","Kissed Frogs"
"Liberty Figure","3.49","","","7.6008","","12","Liberty Figures"
"Light Sword","5.17","","5.98","11.5452","193.06","14","Light Swords"
"Lol Pop","3.06","","3.49","4","114.61","11","Lol Pops"
"Loot Bag","105.5","","111.99","112","100.01","8","Loot Bags"
"Love Candle","7","","8.47","8.0465","95.00","4","Love Candles"
"Love Potion","13","","13.98","12.9518108","92.65","4","Love Potions"
"Low Rider","31.5","","53.99","54","100.02","8","Low Riders"
"Lunar Snake","2.9","","3.289999999","3.22","97.87","9","Lunar Snakes"
"Lush Bouquet","4.6","","5.99","5.47","91.32","10","Lush Bouquets"
"Mad Pumpkin","9.49","","10.79","10.2505","95.00","4","Mad Pumpkins"
"Magic Potion","49","","60","54","90.00","4","Magic Potions"
"Mighty Arm","103","","118","82.0585","69.54","3","Mighty Arms"
"Mini Oscar","52","","77","50.579","65.69","4","Mini Oscars"
"Money Pot","3.98","","4.25","4.2","98.82","8","Money Pots"
"Mood Pack","3.55","","3.98","3.781","95.00","10","Mood Packs"
"Moon Pendant","5.28","","5.99","5.7504","96.00","7","Moon Pendants"
"Mousse Cake","3.58","","4.5","4.311542218","95.81","8","Mousse Cakes"
"Nail Bracelet","80","","125","81.7505","65.40","4","Nail Bracelets"
"Neko Helmet","29.5","","36.99","36.99","100.00","6","Neko Helmets"
"Party Sparkler","3.4","","4.29","3.95104","92.10","8","Party Sparklers"
"Perfume Bottle","55","","68.854040405","46.0718","66.91","4","Perfume Bottles"
